Agency,Data Source,Website,Scale Level,Data Description,Variable Indicator Examples (but not limited to) ,Timeframe (Can Vary Based on DataSet),Frequency of Updates
Agency for Healthcare Research and Quality (AHRQ),AHRQ Social Determinants of Health Database,https://www.ahrq.gov/sdoh/data-analytics/sdoh-data.html,Census Tracts,"The purpose of this project is to create easy to use, easily linkable SDOH-focused data to use in PCOR research, inform approaches to address emerging health issues, and ultimately contribute to improved health outcomes. These SDOH beta data files are curated from existing Federal datasets and other publicly available data sources. The purpose of the files is to make it easier to find a range of well documented, readily linkable SDOH variables across domains without having to access multiple source files, facilitating SDOH research and analysis.","Demographics, Population distribution, Age, Race/ethnicity, Social Vulnerability Index, Segregation, Living Conditions, Workforce / Employment, Poverty, Income, Education, Health Insurance Status, Health care system characteristics, Health status- mortality, Population density",2009-2018,datasets cover 10-year periods
Agency for Healthcare Research and Quality (AHRQ),Healthcare Cost and Utilization Project (HCUP),https://www.ahrq.gov/data/hcup/index.html,N/A,"The Healthcare Cost and Utilization Project (HCUP, pronounced ""H-Cup"") is a family of databases, software tools and related products developed through a Federal-State-Industry partnership and sponsored by AHRQ. HCUP databases are derived from administrative data and contain encounter-level, clinical and nonclinical information including all-listed diagnoses and procedures, discharge status, patient demographics, and charges for all patients, regardless of payer (e.g., Medicare, Medicaid, private insurance, uninsured), beginning in 1988. These databases enable research on a broad range of health policy issues, including cost and quality of health services, medical practice patterns, access to health care programs, and outcomes of treatments at the national, State, and local market levels.

The HCUP databases are based on the data collection efforts of data organizations in participating States that have partnered with AHRQ.","Adult and pediatric ICD-10-CM/PCS diagnosis, procedure, External cause of morbidity codes, and patient characteristics",1988-2019,"1 - 3 years, varies by data set"
Centers for Disease Control and Prevention (CDC),National Syndromic Surveillance System (NSSP) Biosense/ESSENCE,https://www.cdc.gov/nssp/overview.html https://amc.syndromicsurveillance.org/NSSP_AdminTool/login,N/A,"Electronic health surveillance data integration platform. Patient encounter data received from ED, urgent and abulatory care centers, inpatient healthcare settings, and labs. Secure data system- must request access as data is not publicly available.","Chief Complaint, Diagnosis Discharge, EMR data from disaster medical assistance team (DMAT) operation sites",,within 24 hours of patient visit
Centers for Disease Control and Prevention (CDC),WONDER,https://wonder.cdc.gov/,County,"The Centers for Disease Control and Prevention Wide-ranging Online Data for Epidemiologic Research (CDC WONDER) is a web-based resource that provides state and county level vital statistic data for births, deaths, and infant mortality. ","Infant birth weight, Pregnancy characteristics, Mortality, and Cancer ",1995-2020,varies by dataset.
Centers for Disease Control and Prevention (CDC),National Center for Health Statistics (NCHS) Vital Records - National Vital Statistics System (NVSS),https://www.cdc.gov/nchs/nvss/index.htm,County,"Public use Birth, Period Linked Birth � Infant Death, Birth Cohort Linked Birth � Infant Death, Mortality Multiple Cause, and Fetal Death data files are available for independent research and analyses.","Maternal Behavior and Health Characteristics, Infant Health Characteristics, Medical and Public Services Utilization ",1968 - 2020,annual
Centers for Disease Control and Prevention (CDC),Environmental Health Tracking,https://ephtracking.cdc.gov/showHome,County ,"Brings together health and environmental data from national, state, and city sources. Includes an interactive online data explorer (can generate maps, tables charts) as well as several downloadable datasets on drought, solar radiation, and air pollution. Examples of health data include asthma, birth defects, cancer, COPD, developmental, heart disease, heat stress, reproductive and birth outcomes, hormone disorders, etc.","Asthma, Cancer, Chronic Obstructive Pulmonary Disease (COPD), Developmental Disabilities, Lifestyle factors, and Reproductive and Birth Outcomes",2000-2017,varies by dataset.
Centers for Disease Control and Prevention (CDC),Web-based Injury Statistics Query and Reporting System (WISQARS),https://www.cdc.gov/injury/wisqars/index.html,National,"CDC�s WISQARS� is an interactive, online database that provides fatal and nonfatal injury, violent death, and cost of injury data. Researchers, the media, public health professionals, and the public can use WISQARS� data to learn more about the public health and economic burden associated with unintentional and violence-related injury in the United States.",Injury Fire/Burn,2000-2020,annually ~10-11 months after the end of each calendar year
Centers for Disease Control and Prevention (CDC),U.S. Cancer Statistics Public Use Databases,https://www.cdc.gov/cancer/uscs/public-use/index.htm,Census Regions,"De-identified cancer incidence data reported to CDC�s National Program of Cancer Registries (NPCR) and the National Cancer Institute�s (NCI�s) Surveillance, Epidemiology, and End Results (SEER) Program are available to researchers for free in public use databases that can be analyzed using software developed by NCI�s SEER Program.

Cancer surveillance data from CDC and NCI are combined to become U.S. Cancer Statistics, the official source for federal cancer data. U.S. Cancer Statistics public use databases include cancer incidence and population data for all 50 states, the District of Columbia, and Puerto Rico, providing information on more than 33 million cancer cases.","Cancer Incidence (e.g., lung cancer, brain tumours, non-Hodgkin lymphoma, multiple myeloma, and leukaemia) using ICD-1O codes, Month of Diagnosis",2005-2019,Released annually in June
Centers for Disease Control and Prevention (CDC),National Hospital Care Survey (NHCS),https://www.cdc.gov/nchs/nhcs/index.htm,N/A,"NHCS collects data on patient care in hospital-based settings to describe patterns of health care delivery and utilization in the United States. Settings include inpatient, emergency (EDs), and outpatient departments (OPDs). The survey will provide hospital utilization statistics for the Nation. In addition, NHCS will also be able to monitor national trends in substance use-related ED visits including opioid visits. Researchers can link these survey data to outside data sources such as the National Death Index (NDI) to obtain a more complete picture of patient care.","Demographics, Diagnoses (ICD-10 codes), Procedures, Laboratory tests, and Medications",2013-2021,annually
Centers for Disease Control and Prevention (CDC),National Death Index (NDI),https://www.cdc.gov/nchs/ndi/index.htm,State,"Containing over 100 million death records, the National Death Index (NDI) can help you find out who in your study has died by linking your own research datasets to death certificate information for your study subjects.",ICD-10 Codes,1979-2021,annually (approx 11 months after end of calendar year)
